checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,default
1 - 200 DM,9,good,car,0 - 10000,unknown,1 - 4 years,1,2,33,none,own,1,unskilled,1,no
unknown,36,poor,car,10000 - 30000,< 100 DM,> 7 years,2,2,45,none,own,2,skilled,2,no
> 200 DM,10,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,2,23,none,own,1,skilled,1,no
1 - 200 DM,24,critical,car,0 - 10000,100 - 500 DM,< 1 year,4,2,37,none,own,1,skilled,1,no
1 - 200 DM,12,good,car,0 - 10000,> 1000 DM,> 7 years,4,4,54,none,own,1,skilled,1,no
unknown,30,critical,furniture/appliances,0 - 10000,unknown,> 7 years,3,2,40,none,own,2,skilled,2,no
> 200 DM,6,critical,education,0 - 10000,< 100 DM,1 - 4 years,2,4,50,none,own,1,unskilled,1,no
unknown,24,good,car,0 - 10000,< 100 DM,1 - 4 years,1,4,43,none,own,1,unskilled,2,no
< 0 DM,48,perfect,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,3,4,53,none,other,2,skilled,2,yes
< 0 DM,12,good,furniture/appliances,0 - 10000,unknown,> 7 years,2,4,49,none,own,1,unskilled,1,no
1 - 200 DM,18,good,car,0 - 10000,< 100 DM,4 - 7 years,3,3,28,none,rent,1,unskilled,1,no
< 0 DM,21,very good,car,0 - 10000,unknown,1 - 4 years,4,2,40,none,own,2,unskilled,2,yes
< 0 DM,21,critical,car,0 - 10000,< 100 DM,> 7 years,4,4,65,none,own,2,skilled,1,no
unknown,15,critical,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,4,35,none,other,2,skilled,1,no
1 - 200 DM,36,good,education,0 - 10000,< 100 DM,4 - 7 years,3,1,32,none,own,2,skilled,2,no
> 200 DM,9,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,3,2,28,none,own,1,unskilled,1,yes
unknown,12,good,education,0 - 10000,< 100 DM,> 7 years,4,4,47,bank,own,3,skilled,2,no
1 - 200 DM,21,critical,furniture/appliances,0 - 10000,> 1000 DM,4 - 7 years,3,2,32,none,own,2,skilled,1,no
< 0 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,4,28,none,own,1,skilled,1,no
< 0 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,3,30,none,own,1,skilled,1,no
unknown,24,good,car,0 - 10000,unknown,< 1 year,4,1,54,none,own,1,skilled,1,no
unknown,18,good,car,0 - 10000,unknown,4 - 7 years,4,3,32,none,own,1,skilled,1,no
< 0 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,4,64,bank,rent,1,unskilled,1,no
unknown,18,good,business,0 - 10000,100 - 500 DM,1 - 4 years,3,4,24,none,rent,1,unskilled,1,no
unknown,48,poor,furniture/appliances,10000 - 30000,500 - 1000 DM,4 - 7 years,4,1,37,none,own,1,management,1,no
unknown,24,critical,furniture/appliances,0 - 10000,> 1000 DM,1 - 4 years,4,4,50,none,own,1,skilled,1,no
1 - 200 DM,60,poor,furniture/appliances,0 - 10000,unknown,1 - 4 years,1,1,27,none,own,1,unskilled,1,no
unknown,12,good,car,0 - 10000,< 100 DM,> 7 years,4,4,39,none,own,1,management,1,no
unknown,24,critical,car,0 - 10000,unknown,4 - 7 years,3,4,43,none,own,2,skilled,1,no
1 - 200 DM,18,good,furniture/appliances,0 - 10000,unknown,< 1 year,4,3,27,none,rent,1,skilled,1,yes
unknown,18,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,3,2,32,none,own,1,skilled,1,no
< 0 DM,21,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,3,2,25,none,own,2,skilled,1,yes
unknown,18,critical,car,0 - 10000,< 100 DM,1 - 4 years,4,3,36,none,own,2,skilled,1,no
1 - 200 DM,18,poor,business,0 - 10000,unknown,> 7 years,4,2,42,none,own,2,skilled,1,no
unknown,30,good,furniture/appliances,0 - 10000,500 - 1000 DM,> 7 years,4,2,30,bank,own,1,management,1,no
< 0 DM,10,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,3,4,52,none,own,1,unskilled,1,no
1 - 200 DM,15,good,renovations,0 - 10000,100 - 500 DM,1 - 4 years,3,2,25,none,own,1,unskilled,1,no
< 0 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,4,25,bank,rent,2,skilled,1,yes
unknown,24,good,car,0 - 10000,unknown,> 7 years,3,4,41,none,own,1,management,2,no
unknown,24,critical,car,0 - 10000,< 100 DM,4 - 7 years,4,3,35,none,own,2,skilled,1,no
unknown,6,good,furniture/appliances,0 - 10000,500 - 1000 DM,1 - 4 years,1,4,62,none,own,1,skilled,1,no
< 0 DM,18,critical,renovations,0 - 10000,< 100 DM,unemployed,2,4,55,none,other,3,unemployed,2,yes
