checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,default
< 0 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,3,47,none,own,1,unskilled,1,yes
unknown,6,good,education,0 - 10000,unknown,unemployed,4,4,36,none,own,1,management,2,no
< 0 DM,18,perfect,business,0 - 10000,< 100 DM,4 - 7 years,3,1,31,bank,own,1,skilled,1,no
< 0 DM,24,good,furniture/appliances,0 - 10000,unknown,1 - 4 years,2,4,20,none,own,1,skilled,1,yes
1 - 200 DM,9,critical,furniture/appliances,0 - 10000,< 100 DM,> 7 years,2,4,37,none,own,3,unskilled,1,no
> 200 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,3,4,51,none,other,1,skilled,1,no
1 - 200 DM,18,critical,furniture/appliances,0 - 10000,< 100 DM,> 7 years,3,4,37,none,own,1,skilled,1,no
> 200 DM,15,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,2,3,25,none,own,1,unskilled,1,yes
< 0 DM,12,good,car,0 - 10000,< 100 DM,> 7 years,3,4,35,none,other,1,skilled,1,yes
< 0 DM,36,critical,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,3,2,28,none,own,2,skilled,1,no
< 0 DM,48,good,car,0 - 10000,< 100 DM,> 7 years,4,4,42,bank,other,1,management,1,yes
unknown,12,perfect,furniture/appliances,0 - 10000,< 100 DM,> 7 years,2,4,34,none,own,2,skilled,1,no
unknown,24,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,4,2,28,none,own,1,skilled,1,no
unknown,12,critical,furniture/appliances,0 - 10000,unknown,> 7 years,4,3,33,bank,own,1,unskilled,2,yes
unknown,18,critical,furniture/appliances,0 - 10000,500 - 1000 DM,> 7 years,4,3,32,bank,own,2,management,1,no
< 0 DM,14,good,car,0 - 10000,< 100 DM,> 7 years,1,4,45,none,own,1,management,1,yes
< 0 DM,18,good,car,0 - 10000,100 - 500 DM,1 - 4 years,3,4,35,none,own,1,unskilled,2,no
1 - 200 DM,48,good,car0,0 - 10000,unknown,unemployed,3,4,40,bank,other,1,unemployed,1,no
1 - 200 DM,48,very good,business,0 - 10000,100 - 500 DM,4 - 7 years,4,2,30,none,own,1,skilled,1,no
unknown,15,good,car,0 - 10000,< 100 DM,4 - 7 years,2,2,33,none,own,1,skilled,1,no
unknown,12,critical,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,4,43,none,own,3,skilled,1,no
1 - 200 DM,13,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,2,4,23,none,own,1,unskilled,1,no
unknown,24,good,car,0 - 10000,> 1000 DM,4 - 7 years,4,3,34,none,own,1,skilled,2,no
1 - 200 DM,36,perfect,business,0 - 10000,< 100 DM,> 7 years,4,4,61,none,other,1,management,1,yes
1 - 200 DM,18,critical,furniture/appliances,0 - 10000,< 100 DM,< 1 year,2,2,31,none,own,2,unskilled,1,yes
1 - 200 DM,24,good,car,10000 - 30000,< 100 DM,> 7 years,4,2,44,none,other,1,management,1,yes
< 0 DM,24,good,car0,0 - 10000,< 100 DM,> 7 years,4,4,58,none,own,1,unskilled,1,no
unknown,6,critical,car,0 - 10000,< 100 DM,4 - 7 years,1,3,45,none,own,2,management,2,no
unknown,24,good,furniture/appliances,0 - 10000,100 - 500 DM,> 7 years,2,4,31,none,own,2,skilled,1,yes
1 - 200 DM,24,poor,business,0 - 10000,100 - 500 DM,4 - 7 years,4,4,36,none,rent,1,management,1,no
< 0 DM,6,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,1,27,none,own,1,skilled,1,no
< 0 DM,6,critical,car,0 - 10000,< 100 DM,1 - 4 years,1,3,37,none,rent,3,skilled,2,no
unknown,4,critical,car,0 - 10000,< 100 DM,4 - 7 years,1,1,37,none,own,1,skilled,2,no
< 0 DM,30,critical,car,0 - 10000,100 - 500 DM,4 - 7 years,1,4,24,none,rent,2,skilled,1,no
unknown,24,poor,car,0 - 10000,< 100 DM,> 7 years,4,4,47,none,own,2,unskilled,2,yes
1 - 200 DM,48,good,business,10000 - 30000,< 100 DM,1 - 4 years,2,2,23,none,own,1,skilled,1,yes
< 0 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,unemployed,4,2,33,none,own,1,skilled,1,yes
unknown,18,critical,car,0 - 10000,unknown,unemployed,2,4,38,none,own,1,management,1,no
< 0 DM,24,very good,car,0 - 10000,100 - 500 DM,4 - 7 years,2,3,32,bank,own,1,skilled,1,no
1 - 200 DM,12,good,car,0 - 10000,unknown,unemployed,1,2,24,none,rent,1,unemployed,1,no
< 0 DM,36,poor,business,0 - 10000,< 100 DM,4 - 7 years,2,1,24,none,own,2,skilled,1,yes
unknown,24,good,car,0 - 10000,< 100 DM,> 7 years,4,4,35,none,own,1,management,1,no
unknown,24,critical,furniture/appliances,0 - 10000,> 1000 DM,1 - 4 years,4,1,43,none,own,2,unskilled,1,no
1 - 200 DM,30,critical,car,0 - 10000,< 100 DM,unemployed,4,2,28,none,own,2,management,1,yes
unknown,36,good,furniture/appliances,0 - 10000,unknown,1 - 4 years,4,4,25,none,own,1,skilled,1,no
1 - 200 DM,42,very good,car,0 - 10000,< 100 DM,unemployed,1,2,55,bank,other,1,management,1,no
< 0 DM,6,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,1,2,36,bank,own,1,unskilled,1,no
unknown,18,critical,car,0 - 10000,< 100 DM,4 - 7 years,2,2,31,bank,own,2,skilled,1,yes
unknown,9,critical,car,0 - 10000,< 100 DM,1 - 4 years,4,4,48,none,own,3,skilled,1,no
unknown,15,good,furniture/appliances,0 - 10000,unknown,< 1 year,4,1,24,none,own,1,skilled,1,no
< 0 DM,9,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,3,2,25,none,own,1,skilled,1,no
unknown,6,critical,furniture/appliances,0 - 10000,unknown,1 - 4 years,1,2,27,none,own,2,skilled,1,no
1 - 200 DM,18,good,car,10000 - 30000,< 100 DM,unemployed,3,4,38,none,other,1,management,1,yes
1 - 200 DM,12,good,furniture/appliances,0 - 10000,500 - 1000 DM,1 - 4 years,4,3,66,none,own,1,unskilled,1,yes
< 0 DM,27,critical,business,0 - 10000,< 100 DM,> 7 years,4,4,43,store,own,4,management,2,no
unknown,24,critical,renovations,0 - 10000,< 100 DM,1 - 4 years,4,2,33,none,own,2,skilled,1,no
< 0 DM,36,critical,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,3,2,46,none,own,2,skilled,1,no
> 200 DM,12,critical,car,0 - 10000,500 - 1000 DM,unemployed,2,4,66,bank,other,3,unemployed,1,no
> 200 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,3,1,24,none,own,1,skilled,1,no
< 0 DM,6,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,2,1,49,bank,own,1,skilled,1,no
> 200 DM,9,perfect,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,2,34,none,own,2,management,1,yes
1 - 200 DM,18,poor,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,3,40,none,own,1,management,1,yes
> 200 DM,12,good,car,0 - 10000,< 100 DM,< 1 year,4,1,26,none,own,1,skilled,1,no
unknown,12,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,3,4,31,none,own,1,unskilled,1,no
< 0 DM,42,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,3,34,none,own,1,skilled,1,yes
