checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,default
< 0 DM,12,critical,car,0 - 10000,< 100 DM,> 7 years,4,3,35,none,own,2,skilled,1,yes
< 0 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,4,25,bank,rent,2,skilled,1,yes
unknown,21,critical,car,10000 - 30000,unknown,> 7 years,4,4,30,none,other,1,management,1,yes
< 0 DM,30,critical,car,10000 - 30000,< 100 DM,> 7 years,3,4,38,none,other,3,management,2,no
unknown,6,good,furniture/appliances,0 - 10000,> 1000 DM,1 - 4 years,4,2,33,none,own,1,skilled,1,no
1 - 200 DM,10,very good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,4,23,store,own,1,unskilled,1,no
1 - 200 DM,9,good,business,0 - 10000,< 100 DM,1 - 4 years,2,1,27,bank,own,1,skilled,1,no
< 0 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,1,24,none,own,1,unskilled,1,no
unknown,18,good,renovations,0 - 10000,< 100 DM,< 1 year,4,4,23,none,own,1,skilled,1,yes
1 - 200 DM,9,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,2,22,none,own,1,skilled,1,yes
1 - 200 DM,6,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,4,28,none,own,1,skilled,2,no
< 0 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,3,30,none,own,1,skilled,1,no
unknown,18,perfect,business,0 - 10000,< 100 DM,1 - 4 years,2,2,36,store,own,2,skilled,2,yes
1 - 200 DM,18,critical,business,0 - 10000,unknown,1 - 4 years,4,4,28,bank,own,2,skilled,1,no
unknown,24,poor,car,0 - 10000,< 100 DM,> 7 years,4,4,47,none,own,2,unskilled,2,yes
unknown,15,poor,car,0 - 10000,< 100 DM,< 1 year,1,2,46,none,own,2,unskilled,1,no
unknown,24,critical,furniture/appliances,0 - 10000,100 - 500 DM,> 7 years,4,4,52,bank,own,2,skilled,1,no
unknown,12,good,car,0 - 10000,unknown,unemployed,4,4,38,none,own,1,management,1,no
unknown,21,good,furniture/appliances,0 - 10000,unknown,> 7 years,4,3,41,none,own,1,skilled,1,no
1 - 200 DM,12,good,furniture/appliances,0 - 10000,unknown,unemployed,2,1,52,none,own,1,management,1,yes
1 - 200 DM,12,good,car,0 - 10000,unknown,unemployed,1,2,24,none,rent,1,unemployed,1,no
unknown,18,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,4,47,bank,other,2,skilled,1,no
1 - 200 DM,9,good,car,0 - 10000,unknown,1 - 4 years,1,2,33,none,own,1,unskilled,1,no
unknown,12,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,3,34,none,own,1,skilled,2,no
< 0 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,4,28,none,own,1,skilled,1,no
< 0 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,4,24,none,rent,1,skilled,1,no
< 0 DM,48,good,car,10000 - 30000,< 100 DM,4 - 7 years,4,4,39,store,other,3,skilled,2,yes
unknown,12,critical,furniture/appliances,0 - 10000,unknown,> 7 years,4,3,33,bank,own,1,unskilled,2,yes
< 0 DM,21,good,furniture/appliances,0 - 10000,< 100 DM,4 - 7 years,1,4,26,none,rent,1,unskilled,1,no
unknown,24,critical,car,0 - 10000,< 100 DM,4 - 7 years,4,3,35,none,own,2,skilled,1,no
1 - 200 DM,24,critical,car,0 - 10000,100 - 500 DM,< 1 year,4,2,37,none,own,1,skilled,1,no
1 - 200 DM,21,good,furniture/appliances,0 - 10000,unknown,4 - 7 years,2,3,35,none,own,1,skilled,1,no
unknown,12,critical,furniture/appliances,0 - 10000,unknown,> 7 years,4,4,65,none,own,4,skilled,1,no
< 0 DM,15,poor,furniture/appliances,0 - 10000,< 100 DM,> 7 years,1,4,27,none,own,2,unskilled,1,no
unknown,15,good,furniture/appliances,0 - 10000,unknown,4 - 7 years,1,4,33,bank,rent,1,unskilled,1,no
> 200 DM,10,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,2,37,none,own,1,skilled,1,no
