checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,default
> 200 DM,6,critical,education,0 - 10000,< 100 DM,1 - 4 years,2,4,50,none,own,1,unskilled,1,no
1 - 200 DM,15,good,renovations,0 - 10000,100 - 500 DM,1 - 4 years,4,2,22,none,own,1,skilled,1,no
unknown,12,good,furniture/appliances,0 - 10000,unknown,1 - 4 years,4,4,37,none,other,1,skilled,1,no
unknown,15,good,furniture/appliances,0 - 10000,500 - 1000 DM,> 7 years,4,3,47,store,own,1,skilled,1,no
1 - 200 DM,21,good,furniture/appliances,0 - 10000,unknown,4 - 7 years,2,3,35,none,own,1,skilled,1,no
unknown,12,poor,renovations,0 - 10000,> 1000 DM,> 7 years,4,4,55,none,other,2,skilled,2,yes
1 - 200 DM,16,critical,car,0 - 10000,< 100 DM,unemployed,2,3,68,none,other,3,unemployed,1,no
1 - 200 DM,21,critical,furniture/appliances,0 - 10000,> 1000 DM,4 - 7 years,3,2,32,none,own,2,skilled,1,no
unknown,9,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,26,none,rent,1,skilled,1,no
< 0 DM,21,very good,car,0 - 10000,unknown,1 - 4 years,4,2,40,none,own,2,unskilled,2,yes
unknown,12,good,car,0 - 10000,unknown,< 1 year,2,3,45,none,own,1,management,2,no
< 0 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,2,3,42,none,own,1,skilled,1,yes
< 0 DM,12,critical,car,0 - 10000,< 100 DM,> 7 years,3,4,43,none,rent,2,skilled,1,yes
1 - 200 DM,9,critical,furniture/appliances,0 - 10000,< 100 DM,> 7 years,2,4,37,none,own,3,unskilled,1,no
unknown,27,good,renovations,0 - 10000,unknown,> 7 years,4,4,48,none,own,4,skilled,2,no
> 200 DM,42,perfect,business,0 - 10000,< 100 DM,< 1 year,2,1,33,none,own,2,skilled,1,no
< 0 DM,33,critical,furniture/appliances,0 - 10000,500 - 1000 DM,1 - 4 years,1,4,23,none,own,2,skilled,1,yes
< 0 DM,24,good,furniture/appliances,0 - 10000,< 100 DM,> 7 years,4,4,64,bank,rent,1,unskilled,1,no
1 - 200 DM,18,good,business,0 - 10000,> 1000 DM,1 - 4 years,4,2,35,none,own,1,unskilled,1,no
unknown,12,good,furniture/appliances,0 - 10000,500 - 1000 DM,1 - 4 years,4,4,29,none,rent,1,unskilled,1,yes
1 - 200 DM,6,good,car,10000 - 30000,unknown,unemployed,1,2,23,none,own,1,unemployed,1,yes
unknown,36,good,furniture/appliances,10000 - 30000,< 100 DM,unemployed,4,2,26,none,own,2,management,1,yes
unknown,24,critical,business,0 - 10000,100 - 500 DM,1 - 4 years,3,3,27,none,own,2,unskilled,1,no
< 0 DM,42,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,4,3,34,none,own,1,skilled,1,yes
< 0 DM,12,good,car,0 - 10000,< 100 DM,4 - 7 years,4,2,26,none,own,1,skilled,1,yes
1 - 200 DM,30,good,furniture/appliances,0 - 10000,< 100 DM,< 1 year,2,1,22,none,own,1,skilled,1,no
> 200 DM,10,critical,car,0 - 10000,< 100 DM,> 7 years,4,4,63,none,other,2,skilled,1,no
1 - 200 DM,36,perfect,business,0 - 10000,< 100 DM,> 7 years,4,4,61,none,other,1,management,1,yes
1 - 200 DM,21,good,business,0 - 10000,< 100 DM,> 7 years,2,4,39,none,own,1,skilled,2,yes
unknown,48,critical,car,10000 - 30000,500 - 1000 DM,1 - 4 years,2,2,44,bank,other,1,skilled,1,yes
1 - 200 DM,27,critical,furniture/appliances,0 - 10000,500 - 1000 DM,1 - 4 years,4,2,23,none,own,2,unskilled,1,yes
1 - 200 DM,24,poor,business,0 - 10000,unknown,1 - 4 years,4,2,37,bank,own,2,management,1,no
unknown,9,good,business,0 - 10000,< 100 DM,4 - 7 years,3,2,27,none,own,2,skilled,1,no
< 0 DM,18,good,furniture/appliances,0 - 10000,< 100 DM,unemployed,4,2,33,none,own,1,skilled,1,yes
unknown,12,critical,furniture/appliances,0 - 10000,< 100 DM,> 7 years,2,4,63,none,own,2,unskilled,1,no
1 - 200 DM,12,good,furniture/appliances,0 - 10000,< 100 DM,1 - 4 years,4,2,37,none,own,1,unskilled,1,yes
1 - 200 DM,12,good,furniture/appliances,0 - 10000,500 - 1000 DM,1 - 4 years,4,3,66,none,own,1,unskilled,1,yes
< 0 DM,47,good,car,10000 - 30000,< 100 DM,< 1 year,1,1,35,none,own,1,unskilled,1,no
unknown,36,good,business,0 - 10000,100 - 500 DM,4 - 7 years,2,2,31,none,own,2,skilled,1,no
